,No.,Popcode,request,response
735,HG03960,ITU,0,8
736,HG03680,STU,0,8
737,HG03965,ITU,0,8
738,HG03685,STU,0,8
739,HG03692,STU,0,8
740,HG03977,ITU,0,8
741,HG03729,ITU,0,8
742,HG03989,STU,0,8
743,HG03731,ITU,0,8
744,HG03991,STU,0,8
745,HG03736,STU,0,8
746,HG04002,ITU,0,8
747,HG03743,STU,0,8
748,HG04014,ITU,0,8
749,HG03750,STU,0,8
750,HG04019,ITU,0,8
751,HG04026,ITU,0,8
752,HG04033,STU,0,8
753,HG04177,BEB,0,8
754,HG04063,ITU,0,8
755,HG04070,ITU,0,8
756,HG04189,BEB,0,8
757,HG04075,STU,0,8
758,HG04094,ITU,0,8
759,HG04099,STU,0,8
760,HG03934,BEB,0,8
761,HG04107,STU,0,8
762,HG03941,BEB,0,8
763,HG04038,STU,0,8
764,HG03990,STU,0,8
765,HG03995,STU,0,8
766,NA12828,CEU,0,8
767,HG04001,ITU,0,8
768,NA12830,CEU,0,8
769,HG04006,STU,0,8
770,NA12842,CEU,0,8
771,HG04018,ITU,0,8
772,NA12873,CEU,0,8
773,HG04020,ITU,0,8
774,NA12878,CEU,0,8
775,HG03894,STU,0,8
776,NA12892,CEU,0,8
777,HG03899,STU,0,8
778,NA18484,YRI,0,8
779,HG03902,BEB,0,8
780,NA18489,YRI,0,8
781,HG03907,BEB,0,8
782,NA18504,YRI,0,8
783,HG03914,BEB,0,8
784,NA18509,YRI,0,8
785,HG04195,BEB,0,8
786,NA18511,YRI,0,8
787,NA18516,YRI,0,8
788,HG04210,STU,0,8
789,NA10860,CEU,0,8
790,NA10865,CEU,0,8
791,HG04164,BEB,0,8
792,NA11832,CEU,0,8
793,HG04171,BEB,0,8
794,NA11882,CEU,0,8
795,HG04176,BEB,0,8
796,NA11894,CEU,0,8
797,HG04183,BEB,0,8
798,NA11919,CEU,0,8
799,HG04188,BEB,0,8
800,NA11933,CEU,0,8
801,NA11995,CEU,0,8
802,HG04140,BEB,0,8
803,NA12006,CEU,0,8
804,HG04152,BEB,0,8
805,NA12044,CEU,0,8
806,NA12056,CEU,0,8
807,HG03919,BEB,0,8
808,NA12145,CEU,0,8
809,HG03926,BEB,0,8
810,NA12234,CEU,0,8
811,HG03940,BEB,0,8
812,NA12239,CEU,0,8
813,HG03945,STU,0,8
814,NA12272,CEU,0,8
815,HG03969,ITU,0,8
816,NA18523,YRI,0,8
817,HG03971,ITU,0,8
818,NA18528,CHB,0,8
819,HG03976,ITU,0,8
820,NA18530,CHB,0,8
821,HG04025,ITU,0,8
822,NA18535,CHB,0,8
823,HG04037,STU,0,8
824,NA18542,CHB,0,8
825,HG04056,ITU,0,8
826,NA18547,CHB,0,8
827,NA18503,YRI,0,8
828,NA18559,CHB,0,8
829,NA18508,YRI,0,8
830,NA18561,CHB,0,8
831,NA18510,YRI,0,8
832,NA18566,CHB,0,8
833,NA18515,YRI,0,8
834,NA18573,CHB,0,8
835,NA18522,YRI,0,8
836,NA18592,CHB,0,8
837,NA18527,CHB,0,8
838,NA18597,CHB,0,8
839,NA18534,CHB,0,8
840,NA18605,CHB,0,8
841,NA18539,CHB,0,8
842,NA18612,CHB,0,8
843,NA18541,CHB,0,8
844,NA18617,CHB,0,8
845,NA18546,CHB,0,8
846,NA18624,CHB,0,8
847,NA18553,CHB,0,8
848,NA18876,YRI,0,8
849,NA18558,CHB,0,8
850,NA18908,YRI,0,8
851,NA18560,CHB,0,8
852,NA18910,YRI,0,8
853,NA18565,CHB,0,8
854,NA18915,YRI,0,8
855,NA18572,CHB,0,8
856,NA18934,YRI,0,8
857,NA18933,YRI,0,8
858,NA18939,JPT,0,8
859,NA18940,JPT,0,8
860,NA18941,JPT,0,8
861,NA18945,JPT,0,8
862,NA18946,JPT,0,8
863,NA18952,JPT,0,8
864,NA18953,JPT,0,8
865,NA18957,JPT,0,8
866,NA18960,JPT,0,8
867,NA18964,JPT,0,8
868,NA18629,CHB,0,8
869,NA18969,JPT,0,8
870,NA18631,CHB,0,8
871,NA18971,JPT,0,8
872,NA18636,CHB,0,8
873,NA18976,JPT,0,8
874,NA18643,CHB,0,8
875,NA18983,JPT,0,8
876,NA18648,CHB,0,8
877,NA18988,JPT,0,8
878,NA18749,CHB,0,8
879,NA18990,JPT,0,8
880,NA18794,CHB,0,8
881,NA18995,JPT,0,8
882,NA18852,YRI,0,8
883,NA19001,JPT,0,8
884,NA18857,YRI,0,8
885,NA19006,JPT,0,8
886,NA18864,YRI,0,8
887,NA10852,CEU,0,8
888,NA18869,YRI,0,8
889,NA10857,CEU,0,8
890,NA18871,YRI,0,8
891,NA10864,CEU,0,8
892,NA12335,CEU,0,8
893,NA11829,CEU,0,8
894,NA12342,CEU,0,8
895,NA11831,CEU,0,8
896,NA12347,CEU,0,8
897,NA11843,CEU,0,8
898,NA12400,CEU,0,8
899,NA11881,CEU,0,8
900,NA12708,CEU,0,8
